1	0.00027158778450916
10	7.16222835183911e-05
11	7.16222835183911e-05
12	7.02033541228264e-05
13	6.13905287300495e-05
14	5.1158773941708e-05
1492	1.43120923799288e-05
15	5.1158773941708e-05
16	4.09270191533663e-05
16th	1.75508385307066e-05
17	2.63262577960599e-05
17th	1.75508385307066e-05
18	3.06952643650248e-05
1809	2.30875116452821e-05
1854	2.30875116452821e-05
1855	2.30875116452821e-05
185960	2.30875116452821e-05
18612	2.30875116452821e-05
1865	5.26525155921198e-05
1870	2.30875116452821e-05
187071	2.30875116452821e-05
187374	2.30875116452821e-05
1874	2.30875116452821e-05
1876	2.30875116452821e-05
1881	2.30875116452821e-05
1884	2.30875116452821e-05
1885	2.30875116452821e-05
18th	3.51016770614133e-05
19	2.63262577960599e-05
1920	1.43120923799288e-05
19th	2.30875116452821e-05
2	0.000279131889634414
20	2.04635095766832e-05
21	8.77541926535329e-06
22	1.02317547883416e-05
23	1.02317547883416e-05
24	1.02317547883416e-05
25	2.4028330832262e-05
26	1.02317547883416e-05
27	1.2014165416131e-05
27th	2.30875116452821e-05
28	1.2014165416131e-05
29	1.2014165416131e-05
3	0.000226323153757633
30	1.2014165416131e-05
31	1.2014165416131e-05
32	1.2014165416131e-05
33	1.2014165416131e-05
34	1.2014165416131e-05
35	1.2014165416131e-05
36	1.2014165416131e-05
37	1.2014165416131e-05
38	1.2014165416131e-05
39	1.2014165416131e-05
4	0.000228160900899185
40	1.43120923799288e-05
41	1.2014165416131e-05
42	1.2014165416131e-05
43	1.2014165416131e-05
44	1.2014165416131e-05
45	1.02317547883416e-05
46	1.2014165416131e-05
47	1.2014165416131e-05
48	1.2014165416131e-05
49	1.2014165416131e-05
5	0.00019440334097849
50	1.2014165416131e-05
51	1.43120923799288e-05
52	1.43120923799288e-05
6	0.000216254977490358
600	2.30875116452821e-05
63	1.43120923799288e-05
7	0.000180212481241964
71st	2.30875116452821e-05
72d	2.30875116452821e-05
73d	2.30875116452821e-05
8	0.000180212481241964
9	0.000132155819577441
90lived	2.30875116452821e-05
a	0
abandon	1.43120923799288e-05
abandond	4.61750232905644e-05
abandoning	2.30875116452821e-05
abandonment	2.86241847598577e-05
abase	1.75508385307066e-05
abased	1.43120923799288e-05
abashd	2.30875116452821e-05
abdicate	2.30875116452821e-05
abdomen	4.61750232905644e-05
abeyance	6.92625349358464e-05
abidingtemperd	2.30875116452821e-05
ability	8.77541926535329e-06
abject	1.2014165416131e-05
ablaze	3.51016770614133e-05
able	1.00371600533942e-05
aboard	7.20849924967859e-05
abomination	1.02317547883416e-05
aboriginal	3.51016770614133e-05
aborigines	9.23500465811284e-05
about	0
above	7.22675523844385e-05
abraham	1.2014165416131e-05
abreast	5.26525155921198e-05
abroad	2.59938654574276e-06
abrupt	2.63262577960599e-05
abruptly	1.29549846031109e-05
absence	4.0148640213577e-06
absent	4.0148640213577e-06
absolute	1.94324769046663e-05
absolutely	1.40852450212981e-05
absolvd	2.30875116452821e-05
absolve	1.75508385307066e-05
absorb	0.000277050139743386
absorbd	6.92625349358464e-05
absorbing	0.000171745108559146
absorbs	4.61750232905644e-05
abstinence	8.77541926535329e-06
abstracted	1.02317547883416e-05
abstracting	4.61750232905644e-05
abysmic	2.30875116452821e-05
abysms	4.61750232905644e-05
abyssinia	2.30875116452821e-05
academy	1.43120923799288e-05
acceding	2.30875116452821e-05
accents	8.77541926535329e-06
accept	3.56262076585549e-05
acceptable	8.77541926535329e-06
acceptance	5.53667311457557e-06
acceptances	2.30875116452821e-05
acceptation	1.75508385307066e-05
accepted	3.28655717163623e-05
accepting	4.53424461108881e-05
accepts	3.6042496248393e-05
accessions	1.75508385307066e-05
accidents	1.02317547883416e-05
accompaniment	1.43120923799288e-05
accompanying	1.02317547883416e-05
accomplish	1.75508385307066e-05
accomplishd	0.000193059223837773
accord	6.47749230155544e-06
according	1.00371600533942e-05
accosted	1.02317547883416e-05
accouche	2.30875116452821e-05
accouchement	2.30875116452821e-05
accoucheur	2.30875116452821e-05
accouchez	2.30875116452821e-05
account	3.41263441815403e-05
accounts	2.59099692062217e-05
accoutrements	3.51016770614133e-05
accretion	2.30875116452821e-05
accrue	1.43120923799288e-05
accrued	4.61750232905644e-05
accruing	2.30875116452821e-05
accumulate	1.75508385307066e-05
accumulated	2.4028330832262e-05
accumulating	1.43120923799288e-05
accumulations	4.29362771397865e-05
accused	6.47749230155544e-06
accuses	1.75508385307066e-05
accustomd	1.75508385307066e-05
ache	3.6042496248393e-05
aches	7.02033541228263e-05
achievd	4.61750232905644e-05
achieve	4.29362771397865e-05
achievements	1.75508385307066e-05
achilles	5.26525155921198e-05
aching	7.20849924967859e-05
achings	2.30875116452821e-05
acknowledge	2.26323153757633e-05
acknowledgei	2.30875116452821e-05
acknowledges	2.86241847598577e-05
acknowledging	1.50882102505089e-05
acme	2.30875116452821e-05
acquire	2.4028330832262e-05
acquirer	2.30875116452821e-05
acquisitive	2.30875116452821e-05
acres	1.2014165416131e-05
acrid	1.75508385307066e-05
across	5.18199384124435e-05
acrowding	2.30875116452821e-05
act	1.01943486609183e-05
acted	2.59938654574276e-06
acting	4.69508167376605e-06
action	2.59938654574276e-05
actions	6.02229603203654e-06
active	2.21466924583023e-05
activitys	2.30875116452821e-05
actor	6.13905287300495e-05
actors	8.77541926535329e-06
actpoems	2.30875116452821e-05
actress	8.77541926535331e-05
acts	3.23874615077772e-05
actual	1.29549846031109e-05
adages	2.30875116452821e-05
adam	3.77205256262722e-05
adamant	1.2014165416131e-05
adamic	4.61750232905644e-05
