1	3.40113655097717e-05
10	1.53760649820791e-05
11	1.53760649820791e-05
12	1.31875147186685e-05
13	1.53760649820791e-05
14	1.53760649820791e-05
15	3.07521299641581e-05
16	3.07521299641581e-05
17	1.31875147186685e-05
1760	3.46954248490063e-05
1784	3.46954248490063e-05
1785	3.46954248490063e-05
1787	3.46954248490063e-05
1789	2.63750294373369e-05
1791	2.63750294373369e-05
18	1.53760649820791e-05
1800	3.46954248490063e-05
1803	3.46954248490063e-05
1806	3.46954248490063e-05
1810	2.63750294373369e-05
1814	2.63750294373369e-05
1818	2.63750294373369e-05
19	1.31875147186685e-05
1st	2.15079101303378e-05
2	1.13371218365906e-05
20	3.07521299641581e-05
21	1.31875147186685e-05
22	1.53760649820791e-05
23	1.53760649820791e-05
24	1.53760649820791e-05
29th	2.63750294373369e-05
3	1.13371218365906e-05
4	1.31875147186685e-05
5	4.61281949462371e-05
6	1.80546340256674e-05
7	1.80546340256674e-05
8	1.80546340256674e-05
9	3.61092680513346e-05
a	0
abbreviation	2.63750294373369e-05
abdication	3.46954248490063e-05
abide	5.91158588231235e-06
abilities	4.61281949462371e-05
able	9.05017927476344e-05
abode	1.31875147186685e-05
abominable	1.31875147186685e-05
abominate	2.63750294373369e-05
abominates	3.46954248490063e-05
about	0
above	1.81003585495269e-05
abroad	1.9531515985129e-05
absence	2.71505378242903e-05
absent	1.20669056996846e-05
absenting	2.63750294373369e-05
absolute	1.46013579209969e-05
absolutely	3.52783478520484e-05
abstraction	1.53760649820791e-05
absurd	4.99223724700165e-05
absurdity	1.53760649820791e-05
abundance	1.13371218365906e-05
abuse	1.13371218365906e-05
abused	2.26742436731811e-05
abydos	3.46954248490063e-05
accent	8.32039541166945e-06
accept	2.92027158419939e-05
acceptable	2.63750294373368e-05
acceptance	8.32039541166945e-06
accepted	2.1167008711229e-05
accepting	2.92027158419939e-05
accession	2.63750294373369e-05
accessions	2.63750294373369e-05
accident	4.93896869928677e-05
accidental	1.13371218365906e-05
accidentally	2.26742436731811e-05
accommodate	3.07521299641581e-05
accommodating	2.63750294373369e-05
accommodation	4.61281949462371e-05
accommodations	0.000129047460782027
accompanied	9.73423861399799e-06
accompany	1.13371218365906e-05
accompanying	1.53760649820791e-05
accomplish	2.63750294373368e-05
accomplished	2.26742436731811e-05
accomplishment	1.53760649820791e-05
accomplishments	8.60316405213512e-05
accord	9.73423861399799e-06
according	3.01672642492115e-06
accordingly	6.80227310195435e-05
accosted	1.53760649820791e-05
account	0.000111618877722083
accounts	4.86711930699899e-05
accurately	1.53760649820791e-05
accuse	9.73423861399799e-06
accused	9.73423861399799e-06
accustomary	2.63750294373369e-05
acknowledge	9.06969746927247e-05
acknowledged	7.78739089119838e-05
acknowledgement	4.30158202606755e-05
acknowledgements	3.46954248490063e-05
acquaintance	0.000593788555453876
acquainted	0.000159612818822433
acquiescence	3.61092680513346e-05
acquired	6.15042599283162e-05
acquisition	2.15079101303378e-05
acquittal	2.63750294373369e-05
acquitted	1.53760649820791e-05
acre	1.53760649820791e-05
acres	1.80546340256674e-05
across	1.46013579209969e-05
act	1.75084021072856e-05
acted	7.81260639405158e-06
acting	3.52783478520484e-05
action	7.81260639405158e-06
actions	6.03345284984228e-06
active	4.16019770583472e-05
activity	2.26742436731811e-05
actual	3.89369544559919e-05
actually	6.35010261336871e-05
actuated	2.63750294373369e-05
acute	1.53760649820791e-05
adapted	2.15079101303378e-05
add	4.2334017422458e-05
added	7.24014341981076e-05
adding	3.89369544559919e-05
addition	2.43355965349949e-05
additional	3.40113655097717e-05
address	1.41113391408193e-05
addressed	1.7734757646937e-05
addresses	5.4163902077002e-05
addressing	2.92027158419939e-05
adieu	9.73423861399799e-06
adieus	2.15079101303378e-05
adjoining	3.95625441560052e-05
admirably	1.80546340256674e-05
admiral	0.000937939963906822
admirals	0.000172063281042702
admiralty	3.46954248490063e-05
admiration	7.05566957040969e-05
admire	4.93896869928677e-05
admired	2.95579294115617e-05
admirer	2.15079101303378e-05
admires	2.15079101303378e-05
admiring	4.61281949462371e-05
admit	5.32042729408111e-05
admitted	0.000136045462039087
adopt	1.13371218365906e-05
adopted	2.1167008711229e-05
advance	5.91158588231235e-06
advanced	7.05566957040969e-06
advancing	5.91158588231235e-06
advantage	0.000107076624753978
advantages	4.16019770583472e-05
adverse	1.80546340256674e-05
advertise	1.80546340256674e-05
advertised	1.80546340256674e-05
advice	1.9531515985129e-05
advisable	1.80546340256674e-05
advise	5.91158588231235e-06
advised	1.66407908233388e-05
advising	3.61092680513346e-05
affairs	5.64453565632774e-05
affect	1.66407908233388e-05
affected	7.05566957040969e-05
affecting	9.73423861399799e-06
affection	4.38040737629908e-05
affectionate	2.92027158419939e-05
affectionately	2.92027158419939e-05
affections	2.49611862350083e-05
afflicted	4.61281949462371e-05
affliction	3.40113655097717e-05
affluence	7.91250883120105e-05
affluent	2.63750294373369e-05
afford	6.35010261336871e-05
afforded	2.63750294373368e-05
affords	1.80546340256674e-05
affront	1.31875147186685e-05
affronted	2.15079101303378e-05
affronts	2.63750294373369e-05
afloat	1.53760649820791e-05
afraid	3.28282539511605e-05
after	0
afternoon	1.7734757646937e-05
afterwards	0.00010558542487224
afterwardsshe	3.46954248490063e-05
again	0.000288888634770212
against	0
againsts	3.46954248490063e-05
age	0
agent	1.13371218365906e-05
aggravation	7.91250883120105e-05
agitated	3.95625441560052e-05
agitation	0.000116485535763372
agitations	0.000138781699396025
ago	4.82676227987383e-05
agony	2.92027158419939e-05
agree	4.13811011761864e-05
agreeable	0.000584290469319004
